NAME,CONTACT NO,GMAIL,WEBSITE,LOCATION,WHATSAPP
ATTSH Factory Outlet,985-1022897,N/A,No,"M86F+5HJ, ललितपुर 44700",985-1022897
Factory cost outlet,N/A,N/A,No,"M88X+68H, 44600",N/A
Timbasirak & Mattress Factory & Showroom,N/A,N/A,No,"Timba Sirak Factory, ललितपुर 44700",N/A
Factory Outlet,N/A,N/A,No,"M8PP+735, Shankhamul Marga, काठमाडौँ 44600",N/A
Phalano Luga® factory outlet,984-1397597,N/A,Yes,"Satdobato-Godavari Rd, ललितपुर 44700",984-1397597
The Factory Team,980-2066786,N/A,No,"Jhamsikhel Road, ललितपुर 44600",980-2066786
Chips Factory,N/A,N/A,No,"M845+GCV, कार्यविनायक 44700",N/A
The Factory Outlet (TFO),982-3555180,N/A,No,"Sinamangal Rd, काठमाडौँ 44600",982-3555180
Factory Solutions Nepal Pvt. Ltd. (FSN),984-7206004,N/A,Yes,काठमाडौँ 44600,984-7206004
Wood Factory,984-3807278,N/A,No,"M827+96H, ललितपुर 44700",984-3807278
Kasthakala Factory,N/A,N/A,No,"M827+96H, ललितपुर 44700",N/A
Sausage factory Imadol,01-5204251,N/A,No,M87P+5JH,N/A
Sausage factory,N/A,N/A,No,"M84R+GQQ, 44700",N/A
DD Bakery factory pvt ltd | Best Bakery and cafe shop in Lalitpur,981-8172478,N/A,No,"M829+Q3F Milan Chowk, Tikhedewal Marg, ललितपुर 44700",981-8172478
CASTELLO CASHMERE INDUSTRIES (Pashmina Factory) Nepal,985-1154156,N/A,No,"tyanglaphat chowk, कीर्तिपुर 44618",985-1154156
Luga Factory (Garment- Manufacturing & Printing),984-3552013,N/A,Yes,मध्यपुर थिमि 44600,984-3552013
sofa point factory,984-8579255,N/A,No,"peepalbot Chautara, ललितपुर 44700",984-8579255
कारखाना आउटलेट,N/A,N/A,No,"M8G7+CP6, ललितपुर 44600",N/A
Royal Bakery Factory,974-1701155,N/A,No,"M89F+2VM, Prayag Pokhari, ललितपुर 44700",974-1701155
Arju Rice Mill - Factory Outlet Bhaisepati,986-2826225,N/A,Yes,कार्यविनायक 25,986-2826225
Fashion Factory Nepal Sorakhutte,986-4831830,N/A,Yes,काठमाडौँ 44600,986-4831830
Trisara The Baking Factory,980-2368682,N/A,No,"M834+Q9R, कार्यविनायक 44700",980-2368682
"Kalpana Craft, Sano khokana factory",01-5590171,N/A,Yes,"Sano, कार्यविनायक 44700",N/A
Startup Factory,985-1168309,N/A,Yes,"J7WV+FVH, कार्यविनायक 44600",985-1168309
trishakti brick factory (pvt. ltd),01-5910576,N/A,Yes,ललितपुर 44700,N/A
GoGo shoes factory,N/A,N/A,No,"J8R9+PC9, ललितपुर 44700",N/A
साउण्ड कारखाना,01-5554566,N/A,No,"Ekantakuna Rd, ललितपुर 44600",N/A
box factory.,N/A,N/A,No,"M8GV+Q97 35pani puri chowk 4600, काठमाडौँ 44600",N/A
Factory wears,986-0536976,N/A,No,"M9P7+R9Q, Bhaktapur Road, काठमाडौँ 44600",986-0536976
Toys Factory,N/A,N/A,No,"J8JR+HRP, Dhusa Marg, ललितपुर 44700",N/A
